addr,num,meanval,meansqft,average,lng,lat,formatted_address
1806-18 RITTENHOUSE SQ,97,281623.7113,718.4329897,391.9971875,-75.1716823,39.948414,"1806-18 Rittenhouse Square APT 1806, Philadelphia, PA 19103, USA"
1820 RITTENHOUSE SQ,31,1571961.29,3277.258065,479.6574635,-75.1720944,39.948454,"1820 Rittenhouse Square, Philadelphia, PA 19103, USA"
1830 RITTENHOUSE SQ,46,938189.1304,1931.434783,485.747248,-75.1724592,39.9485016,"1830 Rittenhouse Square, Philadelphia, PA 19103, USA"
1900 RITTENHOUSE SQ,42,994945.2381,2040.785714,487.5304796,-75.172824,39.9485491,"1900 Rittenhouse Square, Philadelphia, PA 19103, USA"
220 W RITTENHOUSE SQ,99,650023.2323,1433.040404,453.597282,-75.1732274,39.9494706,"220 W Rittenhouse Square, Philadelphia, PA 19103, USA"
224-30 W RITTENHOUSE SQ,99,367588.8889,834.3737374,440.5566384,-75.1735712,39.9490812,"224 W Rittenhouse Square, Philadelphia, PA 19103, USA"
219-29 S 18TH ST,94,571079.7872,966.4680851,590.8935805,-75.170422,39.949254,"219 S 18th St, Philadelphia, PA 19103, USA"
237 S 18TH ST,44,1107522.727,2210.295455,501.074517,-75.1707493,39.9484947,"237 S 18th St, Philadelphia, PA 19103, USA"
250 S 17TH ST,29,583465.5172,1517.758621,384.4257639,-75.1696321,39.9483687,"250 S 17th St, Philadelphia, PA 19103, USA"
250 S 18TH ST,25,978324,2150.08,455.0174877,-75.1712414,39.948342,"250 S 18th St, Philadelphia, PA 19103, USA"
